ano_mes,preciptacao,coleta
Mar/19,-116.4,6 meses
Abr/19,-106.1,6 meses
Mai/19,-84.1,6 meses
Jun/19,-58.9,6 meses
Jul/19,-57.5,6 meses
Ago/19,-78.1,6 meses
Set/19,-126.8,6 meses
Out/19,-154.8,18 meses
Nov/19,-158.1,18 meses
Dez/19,-139.2,18 meses
Jan/20,-131.4,18 meses
Fev/20,-126,18 meses
Mar/20,-108.5,18 meses
Abr/20,-96.9,18 meses
Mai/20,-59.2,18 meses
Jun/20,-54.2,18 meses
Jul/20,-57.7,18 meses
Ago/20,-73.1,18 meses
Set/20,-120.2,18 meses
Out/20,-136.7,30 meses
Nov/20,-118.8,30 meses
Dez/20,-130.8,30 meses
Jan/21,-134.2,30 meses
Fev/21,-108.5,30 meses
Mar/21,-108.2,30 meses
Abr/21,-89.6,30 meses
Mai/21,-69.6,30 meses
Jun/21,-60.2,30 meses
Jul/21,-46.6,30 meses
Ago/21,-74.7,30 meses
Set/21,-123.9,30 meses
Out/21,-134.8,36 meses
Nov/21,-111.6,36 meses
Dez/21,-116.8,36 meses
Jan/22,-119.5,36 meses
Fev/22,-108.7,36 meses
Mar/22,-125.3,36 meses
Abr/22,-109.8,42 meses
Mai/22,-59,42 meses
Jun/22,-48.7,42 meses
Jul/22,-52.4,42 meses
Ago/22,-77.7,42 meses
Set/22,-110.3,42 meses
