data,temperatura,umidade,temperatura_minima,temperatura_maxima,umidade_minima,umidade_maxima,preciptacao_minima,preciptacao_maxima,preciptacao_acumulada,preciptacao,idade
Mar/19,25.349491279069767,59.46963824289406,24.6,26.0,48,68,5.1,5.1,5.100000000000002,5.100000000000002,6
Abr/19,27.30459392014519,60.421266888485576,22.5,34.9,35,76,0.6,14.1,13.912499999999996,13.912499999999996,6
Mai/19,26.350231351981783,55.80412390715788,20.9,33.9,35,81,0.3,20.1,11.460486721164857,2.8651216802912143,6
Jun/19,25.06008101851852,46.29131944444444,17.9,34.2,25,68,,,0.0,0.0,6
Jul/19,24.098752031925894,39.37350660071617,15.7,32.8,21,60,,,0.0,0.0,6
Ago/19,25.925057904812917,38.83937304090782,18.0,33.0,23,70,0.3,1.2,1.179310344827586,1.179310344827586,6
Set/19,27.981086292205028,33.81327406291607,22.2,35.5,18,72,0.3,18.9,18.38790909090909,9.193954545454545,6
Out/19,29.445734110325798,36.220866116275275,24.1,39.2,18,69,0.3,5.7,8.877958745270767,2.9593195817569224,18
Nov/19,28.85001330998096,49.04754535979628,22.9,40.6,20,83,0.3,26.7,109.95360038128875,6.872100023830547,18
Dez/19,28.538374682018866,53.19458918455254,22.8,41.2,27,79,0.3,33.3,99.60297292527706,8.300247743773088,18
